islope(ns) ldcap(ff)  o_fall(ns) ldcap(ff)  o_fall(ns) ldcap(ff)  o_fall(ns) ldcap(ff)  o_fall(ns) ldcap(ff)  o_fall(ns) ldcap(ff)  o_fall(ns) ldcap(ff)  o_fall(ns) 
000.001000 000.020000 000.091373 001.250000 000.100148 002.500000 000.107501 005.000000 000.121307 011.000000 000.153914 021.000000 000.207983 042.000000 000.321430 
000.030000 000.020000 000.117973 001.250000 000.126753 002.500000 000.134082 005.000000 000.147913 011.000000 000.180507 021.000000 000.234828 042.000000 000.348120 
000.070000 000.020000 000.145400 001.250000 000.154217 002.500000 000.161553 005.000000 000.175380 011.000000 000.207933 021.000000 000.262013 042.000000 000.375446 
000.100000 000.020000 000.162165 001.250000 000.170971 002.500000 000.178318 005.000000 000.192146 011.000000 000.224698 021.000000 000.278771 042.000000 000.392194 
000.130000 000.020000 000.177340 001.250000 000.186160 002.500000 000.193504 005.000000 000.207336 011.000000 000.239887 021.000000 000.293948 042.000000 000.407373 
000.170000 000.020000 000.195325 001.250000 000.204150 002.500000 000.211502 005.000000 000.225335 011.000000 000.257885 021.000000 000.311941 042.000000 000.425347 
000.200000 000.020000 000.207519 001.250000 000.216343 002.500000 000.223689 005.000000 000.237528 011.000000 000.270082 021.000000 000.324141 042.000000 000.437543 
