/net5 (tsetup=7e-10) X,/net5 (tsetup=7e-10) Y,/net5 (tsetup=6.921053e-10) X,/net5 (tsetup=6.921053e-10) Y,/net5 (tsetup=6.842105e-10) X,/net5 (tsetup=6.842105e-10) Y,/net5 (tsetup=6.763158e-10) X,/net5 (tsetup=6.763158e-10) Y,/net5 (tsetup=6.684211e-10) X,/net5 (tsetup=6.684211e-10) Y,/net5 (tsetup=6.605263e-10) X,/net5 (tsetup=6.605263e-10) Y,/net5 (tsetup=6.526316e-10) X,/net5 (tsetup=6.526316e-10) Y,/net5 (tsetup=6.447368e-10) X,/net5 (tsetup=6.447368e-10) Y,/net5 (tsetup=6.368421e-10) X,/net5 (tsetup=6.368421e-10) Y,/net5 (tsetup=6.289474e-10) X,/net5 (tsetup=6.289474e-10) Y,/net5 (tsetup=6.210526e-10) X,/net5 (tsetup=6.210526e-10) Y,/net5 (tsetup=6.131579e-10) X,/net5 (tsetup=6.131579e-10) Y,/net5 (tsetup=6.052632e-10) X,/net5 (tsetup=6.052632e-10) Y,/net5 (tsetup=5.973684e-10) X,/net5 (tsetup=5.973684e-10) Y,/net5 (tsetup=5.894737e-10) X,/net5 (tsetup=5.894737e-10) Y,/net5 (tsetup=5.815789e-10) X,/net5 (tsetup=5.815789e-10) Y,/net5 (tsetup=5.736842e-10) X,/net5 (tsetup=5.736842e-10) Y,/net5 (tsetup=5.657895e-10) X,/net5 (tsetup=5.657895e-10) Y,/net5 (tsetup=5.578947e-10) X,/net5 (tsetup=5.578947e-10) Y,/net5 (tsetup=5.5e-10) X,/net5 (tsetup=5.5e-10) Y
0,0.00543725478665667,0,0.00543725478665667,0,0.00543725478665667,0,0.00543725478665667,0,0.00543725478665667,0,0.00543725478665667,0,0.00543725478665667,0,0.00543725478665667,0,0.00543725478665667,0,0.00543725478665667,0,0.00543725478665667,0,0.00543725478665667,0,0.00543725478665667,0,0.00543725478665667,0,0.00543725478665667,0,0.00543725478665667,0,0.00543725478665667,0,0.00543725478665667,0,0.00543725478665667,0,0.00543725478665667
9.765625e-14,0.005437321018213184,9.765625e-14,0.005437321018213184,9.765625e-14,0.005437321018213184,9.765625e-14,0.005437321018213184,9.765625e-14,0.005437321018213184,9.765625e-14,0.005437321018213184,9.765625e-14,0.005437321018213184,9.765625e-14,0.005437321018213184,9.765625e-14,0.005437321018213184,9.765625e-14,0.005437321018213184,9.765625e-14,0.005437321018213184,9.765625e-14,0.005437321018213184,9.765625e-14,0.005437321018213184,9.765625e-14,0.005437321018213184,9.765625e-14,0.005437321018213184,9.765625e-14,0.005437321018213184,9.765625e-14,0.005437321018213184,9.765625e-14,0.005437321018213184,9.765625e-14,0.005437321018213184,9.765625e-14,0.005437321018213184
2.9296875e-13,0.005437465186646384,2.9296875e-13,0.005437465186646384,2.9296875e-13,0.005437465186646384,2.9296875e-13,0.005437465186646384,2.9296875e-13,0.005437465186646384,2.9296875e-13,0.005437465186646384,2.9296875e-13,0.005437465186646384,2.9296875e-13,0.005437465186646384,2.9296875e-13,0.005437465186646384,2.9296875e-13,0.005437465186646384,2.9296875e-13,0.005437465186646384,2.9296875e-13,0.005437465186646384,2.9296875e-13,0.005437465186646384,2.9296875e-13,0.005437465186646384,2.9296875e-13,0.005437465186646384,2.9296875e-13,0.005437465186646384,2.9296875e-13,0.005437465186646384,2.9296875e-13,0.005437465186646384,2.9296875e-13,0.005437465186646384,2.9296875e-13,0.005437465186646384
6.8359375e-13,0.005437748615025354,6.8359375e-13,0.005437748615025354,6.8359375e-13,0.005437748615025354,6.8359375e-13,0.005437748615025354,6.8359375e-13,0.005437748615025354,6.8359375e-13,0.005437748615025354,6.8359375e-13,0.005437748615025354,6.8359375e-13,0.005437748615025354,6.8359375e-13,0.005437748615025354,6.8359375e-13,0.005437748615025354,6.8359375e-13,0.005437748615025354,6.8359375e-13,0.005437748615025354,6.8359375e-13,0.005437748615025354,6.8359375e-13,0.005437748615025354,6.8359375e-13,0.005437748615025354,6.8359375e-13,0.005437748615025354,6.8359375e-13,0.005437748615025354,6.8359375e-13,0.005437748615025354,6.8359375e-13,0.005437748615025354,6.8359375e-13,0.005437748615025354
9.888479446637179e-13,0.005437964264960969,9.888479446637179e-13,0.005437964264960969,9.888479446637179e-13,0.005437964264960969,9.888479446637179e-13,0.005437964264960969,9.888479446637179e-13,0.005437964264960969,9.888479446637179e-13,0.005437964264960969,9.888479446637179e-13,0.005437964264960969,9.888479446637179e-13,0.005437964264960969,9.888479446637179e-13,0.005437964264960969,9.888479446637179e-13,0.005437964264960969,9.888479446637179e-13,0.005437964264960969,9.888479446637179e-13,0.005437964264960969,9.888479446637179e-13,0.005437964264960969,9.888479446637179e-13,0.005437964264960969,9.888479446637179e-13,0.005437964264960969,9.888479446637179e-13,0.005437964264960969,9.888479446637179e-13,0.005437964264960969,9.888479446637179e-13,0.005437964264960969,9.888479446637179e-13,0.005437964264960969,9.888479446637179e-13,0.005437964264960969
1.599356333991154e-12,0.005438379746688775,1.599356333991154e-12,0.005438379746688775,1.599356333991154e-12,0.005438379746688775,1.599356333991154e-12,0.005438379746688775,1.599356333991154e-12,0.005438379746688775,1.599356333991154e-12,0.005438379746688775,1.599356333991154e-12,0.005438379746688775,1.599356333991154e-12,0.005438379746688775,1.599356333991154e-12,0.005438379746688775,1.599356333991154e-12,0.005438379746688775,1.599356333991154e-12,0.005438379746688775,1.599356333991154e-12,0.005438379746688775,1.599356333991154e-12,0.005438379746688775,1.599356333991154e-12,0.005438379746688775,1.599356333991154e-12,0.005438379746688775,1.599356333991154e-12,0.005438379746688775,1.599356333991154e-12,0.005438379746688775,1.599356333991154e-12,0.005438379746688775,1.599356333991154e-12,0.005438379746688775,1.599356333991154e-12,0.005438379746688775
2.820373112646025e-12,0.005439150977196663,2.820373112646025e-12,0.005439150977196663,2.820373112646025e-12,0.005439150977196663,2.820373112646025e-12,0.005439150977196663,2.820373112646025e-12,0.005439150977196663,2.820373112646025e-12,0.005439150977196663,2.820373112646025e-12,0.005439150977196663,2.820373112646025e-12,0.005439150977196663,2.820373112646025e-12,0.005439150977196663,2.820373112646025e-12,0.005439150977196663,2.820373112646025e-12,0.005439150977196663,2.820373112646025e-12,0.005439150977196663,2.820373112646025e-12,0.005439150977196663,2.820373112646025e-12,0.005439150977196663,2.820373112646025e-12,0.005439150977196663,2.820373112646025e-12,0.005439150977196663,2.820373112646025e-12,0.005439150977196663,2.820373112646025e-12,0.005439150977196663,2.820373112646025e-12,0.005439150977196663,2.820373112646025e-12,0.005439150977196663
5.262406669955769e-12,0.00544048414392698,5.262406669955769e-12,0.00544048414392698,5.262406669955769e-12,0.00544048414392698,5.262406669955769e-12,0.00544048414392698,5.262406669955769e-12,0.00544048414392698,5.262406669955769e-12,0.00544048414392698,5.262406669955769e-12,0.00544048414392698,5.262406669955769e-12,0.00544048414392698,5.262406669955769e-12,0.00544048414392698,5.262406669955769e-12,0.00544048414392698,5.262406669955769e-12,0.00544048414392698,5.262406669955769e-12,0.00544048414392698,5.262406669955769e-12,0.00544048414392698,5.262406669955769e-12,0.00544048414392698,5.262406669955769e-12,0.00544048414392698,5.262406669955769e-12,0.00544048414392698,5.262406669955769e-12,0.00544048414392698,5.262406669955769e-12,0.00544048414392698,5.262406669955769e-12,0.00544048414392698,5.262406669955769e-12,0.00544048414392698
1.014647378457526e-11,0.005442503003281534,1.014647378457526e-11,0.005442503003281534,1.014647378457526e-11,0.005442503003281534,1.014647378457526e-11,0.005442503003281534,1.014647378457526e-11,0.005442503003281534,1.014647378457526e-11,0.005442503003281534,1.014647378457526e-11,0.005442503003281534,1.014647378457526e-11,0.005442503003281534,1.014647378457526e-11,0.005442503003281534,1.014647378457526e-11,0.005442503003281534,1.014647378457526e-11,0.005442503003281534,1.014647378457526e-11,0.005442503003281534,1.014647378457526e-11,0.005442503003281534,1.014647378457526e-11,0.005442503003281534,1.014647378457526e-11,0.005442503003281534,1.014647378457526e-11,0.005442503003281534,1.014647378457526e-11,0.005442503003281534,1.014647378457526e-11,0.005442503003281534,1.014647378457526e-11,0.005442503003281534,1.014647378457526e-11,0.005442503003281534
1.625805169165109e-11,0.005444170016860334,1.625805169165109e-11,0.005444170016860334,1.625805169165109e-11,0.005444170016860334,1.625805169165109e-11,0.005444170016860334,1.625805169165109e-11,0.005444170016860334,1.625805169165109e-11,0.005444170016860334,1.625805169165109e-11,0.005444170016860334,1.625805169165109e-11,0.005444170016860334,1.625805169165109e-11,0.005444170016860334,1.625805169165109e-11,0.005444170016860334,1.625805169165109e-11,0.005444170016860334,1.625805169165109e-11,0.005444170016860334,1.625805169165109e-11,0.005444170016860334,1.625805169165109e-11,0.005444170016860334,1.625805169165109e-11,0.005444170016860334,1.625805169165109e-11,0.005444170016860334,1.625805169165109e-11,0.005444170016860334,1.625805169165109e-11,0.005444170016860334,1.625805169165109e-11,0.005444170016860334,1.625805169165109e-11,0.005444170016860334
