Eyves (wmn2=1.8e-07) X,Eyves (wmn2=1.8e-07) Y,Eyves (wmn2=1.863158e-07) X,Eyves (wmn2=1.863158e-07) Y,Eyves (wmn2=1.926316e-07) X,Eyves (wmn2=1.926316e-07) Y,Eyves (wmn2=1.989474e-07) X,Eyves (wmn2=1.989474e-07) Y,Eyves (wmn2=2.052632e-07) X,Eyves (wmn2=2.052632e-07) Y,Eyves (wmn2=2.115789e-07) X,Eyves (wmn2=2.115789e-07) Y,Eyves (wmn2=2.178947e-07) X,Eyves (wmn2=2.178947e-07) Y,Eyves (wmn2=2.242105e-07) X,Eyves (wmn2=2.242105e-07) Y,Eyves (wmn2=2.305263e-07) X,Eyves (wmn2=2.305263e-07) Y,Eyves (wmn2=2.368421e-07) X,Eyves (wmn2=2.368421e-07) Y,Eyves (wmn2=2.431579e-07) X,Eyves (wmn2=2.431579e-07) Y,Eyves (wmn2=2.494737e-07) X,Eyves (wmn2=2.494737e-07) Y,Eyves (wmn2=2.557895e-07) X,Eyves (wmn2=2.557895e-07) Y,Eyves (wmn2=2.621053e-07) X,Eyves (wmn2=2.621053e-07) Y,Eyves (wmn2=2.684211e-07) X,Eyves (wmn2=2.684211e-07) Y,Eyves (wmn2=2.747368e-07) X,Eyves (wmn2=2.747368e-07) Y,Eyves (wmn2=2.810526e-07) X,Eyves (wmn2=2.810526e-07) Y,Eyves (wmn2=2.873684e-07) X,Eyves (wmn2=2.873684e-07) Y,Eyves (wmn2=2.936842e-07) X,Eyves (wmn2=2.936842e-07) Y,Eyves (wmn2=3e-07) X,Eyves (wmn2=3e-07) Y
3.026316e-07,2.220356855548225e-17,3.026316e-07,2.220350569262878e-17,3.026316e-07,2.220381311674149e-17,3.026316e-07,2.220416079593814e-17,3.026316e-07,2.22037695943043e-17,3.026316e-07,2.220386587736996e-17,3.026316e-07,2.220343323207507e-17,3.026316e-07,2.220394184417731e-17,3.026316e-07,2.220418661423879e-17,3.026316e-07,2.220369713881085e-17,3.026316e-07,2.220436284883088e-17,3.026316e-07,2.220447963312392e-17,3.026316e-07,2.220458826658269e-17,3.026316e-07,2.220468065888328e-17,3.026316e-07,2.220471282719596e-17,3.026316e-07,2.220476561347132e-17,3.026316e-07,2.220424583505857e-17,3.026316e-07,2.22043333545697e-17,3.026316e-07,2.220439670245166e-17,3.026316e-07,2.22049522444451e-17
3.078947e-07,2.220374259115949e-17,3.078947e-07,2.220412734247807e-17,3.078947e-07,2.220409024983353e-17,3.078947e-07,2.220439823122091e-17,3.078947e-07,2.220401176105239e-17,3.078947e-07,2.220367197888527e-17,3.078947e-07,2.22042729457692e-17,3.078947e-07,2.220437117183845e-17,3.078947e-07,2.220450556556285e-17,3.078947e-07,2.220471655049561e-17,3.078947e-07,2.220434632592399e-17,3.078947e-07,2.220448979109988e-17,3.078947e-07,2.220464783405588e-17,3.078947e-07,2.22047551339892e-17,3.078947e-07,2.220481150429084e-17,3.078947e-07,2.220487813802632e-17,3.078947e-07,2.220498662083087e-17,3.078947e-07,2.220506032710981e-17,3.078947e-07,2.220514368175663e-17,3.078947e-07,2.220520529718455e-17
3.131579e-07,2.220461001783561e-17,3.131579e-07,2.220404257206167e-17,3.131579e-07,2.220453082559909e-17,3.131579e-07,2.220421117304614e-17,3.131579e-07,2.220440951056988e-17,3.131579e-07,2.220447546417895e-17,3.131579e-07,2.220472922583758e-17,3.131579e-07,2.220453144031372e-17,3.131579e-07,2.220458529994483e-17,3.131579e-07,2.220463969974038e-17,3.131579e-07,2.220481435807041e-17,3.131579e-07,2.220486865964422e-17,3.131579e-07,2.220491478985202e-17,3.131579e-07,2.220498204286925e-17,3.131579e-07,2.22049979190876e-17,3.131579e-07,2.220502885524691e-17,3.131579e-07,2.220511680850671e-17,3.131579e-07,2.220550369784284e-17,3.131579e-07,2.22055661158686e-17,3.131579e-07,2.22050173642878e-17
3.184211e-07,2.220418962810429e-17,3.184211e-07,2.220426350456961e-17,3.184211e-07,2.220453465747518e-17,3.184211e-07,2.220457964853459e-17,3.184211e-07,2.220475035647664e-17,3.184211e-07,2.220478024789087e-17,3.184211e-07,2.220484628040709e-17,3.184211e-07,2.220485664537168e-17,3.184211e-07,2.220468068538764e-17,3.184211e-07,2.220484823882895e-17,3.184211e-07,2.220492704316814e-17,3.184211e-07,2.220499221624346e-17,3.184211e-07,2.220505682962973e-17,3.184211e-07,2.220511074451926e-17,3.184211e-07,2.220526358032039e-17,3.184211e-07,2.220531766568886e-17,3.184211e-07,2.220541517246726e-17,3.184211e-07,2.220548710009781e-17,3.184211e-07,2.220555355742386e-17,3.184211e-07,2.220559398281627e-17
3.236842e-07,2.22044325766596e-17,3.236842e-07,2.220467345307618e-17,3.236842e-07,2.22050405991443e-17,3.236842e-07,2.220490653857653e-17,3.236842e-07,2.220492111613175e-17,3.236842e-07,2.220497125414431e-17,3.236842e-07,2.220481196043683e-17,3.236842e-07,2.220516866210909e-17,3.236842e-07,2.220531291795961e-17,3.236842e-07,2.220500594925816e-17,3.236842e-07,2.220513064087852e-17,3.236842e-07,2.220519793861991e-17,3.236842e-07,2.220526437997332e-17,3.236842e-07,2.220533202005891e-17,3.236842e-07,2.220536522705761e-17,3.236842e-07,2.220553360998472e-17,3.236842e-07,2.220563093844497e-17,3.236842e-07,2.22057000625624e-17,3.236842e-07,2.220576393062459e-17,3.236842e-07,2.220586566010445e-17
3.289474e-07,2.220471291025983e-17,3.289474e-07,2.220527054304531e-17,3.289474e-07,2.22050819513322e-17,3.289474e-07,2.220522116918891e-17,3.289474e-07,2.220499323171572e-17,3.289474e-07,2.220528849860714e-17,3.289474e-07,2.220515013168606e-17,3.289474e-07,2.220547358437538e-17,3.289474e-07,2.220514364700045e-17,3.289474e-07,2.220522992954074e-17,3.289474e-07,2.220531904848438e-17,3.289474e-07,2.220541225404906e-17,3.289474e-07,2.22054776488067e-17,3.289474e-07,2.220554420431673e-17,3.289474e-07,2.220557353627244e-17,3.289474e-07,2.22057468553772e-17,3.289474e-07,2.220583831173295e-17,3.289474e-07,2.220590055970049e-17,3.289474e-07,2.220599753724219e-17,3.289474e-07,2.220608573237073e-17
3.342105e-07,2.220555800100546e-17,3.342105e-07,2.220525406537206e-17,3.342105e-07,2.220511683843637e-17,3.342105e-07,2.22054848564466e-17,3.342105e-07,2.220543565015557e-17,3.342105e-07,2.220556610710537e-17,3.342105e-07,2.220535714059726e-17,3.342105e-07,2.220545830206786e-17,3.342105e-07,2.220526408518518e-17,3.342105e-07,2.220496184234198e-17,3.342105e-07,2.220556733370526e-17,3.342105e-07,2.220562563643495e-17,3.342105e-07,2.220580307535244e-17,3.342105e-07,2.220586966525826e-17,3.342105e-07,2.220590468507147e-17,3.342105e-07,2.220595284138818e-17,3.342105e-07,2.220603788224385e-17,3.342105e-07,2.220609651337864e-17,3.342105e-07,2.220611755624247e-17,3.342105e-07,2.220628580008688e-17
3.394737e-07,2.220565215594205e-17,3.394737e-07,2.220560557047406e-17,3.394737e-07,2.220569304612325e-17,3.394737e-07,2.220544683317207e-17,3.394737e-07,2.220554140641603e-17,3.394737e-07,2.220567573196208e-17,3.394737e-07,2.220577084561397e-17,3.394737e-07,2.220572539925358e-17,3.394737e-07,2.220571179205987e-17,3.394737e-07,2.220547649226773e-17,3.394737e-07,2.22056105162478e-17,3.394737e-07,2.220568047304507e-17,3.394737e-07,2.220576739554039e-17,3.394737e-07,2.220540357382251e-17,3.394737e-07,2.220542899074767e-17,3.394737e-07,2.220550576904349e-17,3.394737e-07,2.220612729932381e-17,3.394737e-07,2.220626722424122e-17,3.394737e-07,2.220625450030142e-17,3.394737e-07,2.220630867930252e-17
3.447368e-07,2.220596061321221e-17,3.447368e-07,2.22054257632784e-17,3.447368e-07,2.220549151168216e-17,3.447368e-07,2.220553707978896e-17,3.447368e-07,2.220574776798067e-17,3.447368e-07,2.220575225010131e-17,3.447368e-07,2.220586741237256e-17,3.447368e-07,2.220608007246502e-17,3.447368e-07,2.220597496132339e-17,3.447368e-07,2.220597326899008e-17,3.447368e-07,2.22059358067655e-17,3.447368e-07,2.220591330209664e-17,3.447368e-07,2.220596031273194e-17,3.447368e-07,2.220600557344641e-17,3.447368e-07,2.220604100052678e-17,3.447368e-07,2.220607120754051e-17,3.447368e-07,2.220615511355689e-17,3.447368e-07,2.220621679794715e-17,3.447368e-07,2.220629109830723e-17,3.447368e-07,2.220637708622687e-17
3.5e-07,2.220594276771698e-17,3.5e-07,2.220568123290317e-17,3.5e-07,2.220604908344923e-17,3.5e-07,2.220593257015301e-17,3.5e-07,2.220597264447636e-17,3.5e-07,2.220573569261189e-17,3.5e-07,2.220603737542176e-17,3.5e-07,2.220627258205942e-17,3.5e-07,2.220601009458038e-17,3.5e-07,2.220598061300754e-17,3.5e-07,2.220603029775556e-17,3.5e-07,2.220609047674824e-17,3.5e-07,2.220614865428959e-17,3.5e-07,2.220627952958707e-17,3.5e-07,2.220630855540965e-17,3.5e-07,2.22063475724007e-17,3.5e-07,2.22061374674161e-17,3.5e-07,2.220647962506065e-17,3.5e-07,2.220650600654856e-17,3.5e-07,2.220648786724531e-17
