Eantoine (wmn2=1.8e-07) X,Eantoine (wmn2=1.8e-07) Y,Eantoine (wmn2=2.621053e-07) X,Eantoine (wmn2=2.621053e-07) Y,Eantoine (wmn2=2.368421e-07) X,Eantoine (wmn2=2.368421e-07) Y,Eantoine (wmn2=1.863158e-07) X,Eantoine (wmn2=1.863158e-07) Y,Eantoine (wmn2=1.926316e-07) X,Eantoine (wmn2=1.926316e-07) Y,Eantoine (wmn2=1.989474e-07) X,Eantoine (wmn2=1.989474e-07) Y,Eantoine (wmn2=2.052632e-07) X,Eantoine (wmn2=2.052632e-07) Y,Eantoine (wmn2=2.115789e-07) X,Eantoine (wmn2=2.115789e-07) Y,Eantoine (wmn2=2.178947e-07) X,Eantoine (wmn2=2.178947e-07) Y,Eantoine (wmn2=2.242105e-07) X,Eantoine (wmn2=2.242105e-07) Y,Eantoine (wmn2=2.305263e-07) X,Eantoine (wmn2=2.305263e-07) Y,Eantoine (wmn2=2.431579e-07) X,Eantoine (wmn2=2.431579e-07) Y,Eantoine (wmn2=2.494737e-07) X,Eantoine (wmn2=2.494737e-07) Y,Eantoine (wmn2=2.557895e-07) X,Eantoine (wmn2=2.557895e-07) Y,Eantoine (wmn2=2.684211e-07) X,Eantoine (wmn2=2.684211e-07) Y,Eantoine (wmn2=3e-07) X,Eantoine (wmn2=3e-07) Y,Eantoine (wmn2=2.936842e-07) X,Eantoine (wmn2=2.936842e-07) Y,Eantoine (wmn2=2.810526e-07) X,Eantoine (wmn2=2.810526e-07) Y,Eantoine (wmn2=2.747368e-07) X,Eantoine (wmn2=2.747368e-07) Y,Eantoine (wmn2=2.873684e-07) X,Eantoine (wmn2=2.873684e-07) Y
3.026316e-07,1.901921872756687e-17,3.026316e-07,2.172392343272335e-17,3.026316e-07,2.088081993060553e-17,3.026316e-07,1.922319516380256e-17,3.026316e-07,1.942922655747938e-17,3.026316e-07,1.963530066007507e-17,3.026316e-07,1.984043786327219e-17,3.026316e-07,2.004852796436226e-17,3.026316e-07,2.025461329868521e-17,3.026316e-07,2.04634127276294e-17,3.026316e-07,2.067353936207129e-17,3.026316e-07,2.109249639963003e-17,3.026316e-07,2.130259221237758e-17,3.026316e-07,2.1513075801849e-17,3.026316e-07,2.193515261467541e-17,3.026316e-07,2.299023898494545e-17,3.026316e-07,2.278105116484205e-17,3.026316e-07,2.235633044816048e-17,3.026316e-07,2.214672239575771e-17,3.026316e-07,2.256856080168099e-17
3.078947e-07,1.902661595528785e-17,3.078947e-07,2.173132176957138e-17,3.078947e-07,2.089061422977795e-17,3.078947e-07,1.923196759727659e-17,3.078947e-07,1.94366938002894e-17,3.078947e-07,1.96428363681925e-17,3.078947e-07,1.98480867994058e-17,3.078947e-07,2.005459929494468e-17,3.078947e-07,2.026414102717669e-17,3.078947e-07,2.047210942025598e-17,3.078947e-07,2.068134986903623e-17,3.078947e-07,2.109972746643101e-17,3.078947e-07,2.130967549356396e-17,3.078947e-07,2.15203483244558e-17,3.078947e-07,2.194259823189857e-17,3.078947e-07,2.299886982039783e-17,3.078947e-07,2.279074234801343e-17,3.078947e-07,2.236609789121105e-17,3.078947e-07,2.215419066359521e-17,3.078947e-07,2.257828298214782e-17
3.131579e-07,1.903585791216358e-17,3.131579e-07,2.173930754028381e-17,3.131579e-07,2.089789601062696e-17,3.131579e-07,1.923812693287922e-17,3.131579e-07,1.944449920342479e-17,3.131579e-07,1.964981140618941e-17,3.131579e-07,1.985628936446837e-17,3.131579e-07,2.006358747414773e-17,3.131579e-07,2.027196403293382e-17,3.131579e-07,2.047966730726756e-17,3.131579e-07,2.068865674341722e-17,3.131579e-07,2.110775787511968e-17,3.131579e-07,2.131786844203267e-17,3.131579e-07,2.152837226041365e-17,3.131579e-07,2.195055003567658e-17,3.131579e-07,2.300549885531865e-17,3.131579e-07,2.279952139144447e-17,3.131579e-07,2.23740604237697e-17,3.131579e-07,2.216214577153941e-17,3.131579e-07,2.258693399150485e-17
3.184211e-07,1.90413923806579e-17,3.184211e-07,2.174710828468799e-17,3.184211e-07,2.090565537277716e-17,3.184211e-07,1.924555716004389e-17,3.184211e-07,1.945140317401494e-17,3.184211e-07,1.965727961210351e-17,3.184211e-07,1.98638190128895e-17,3.184211e-07,2.007171971283227e-17,3.184211e-07,2.027944353623331e-17,3.184211e-07,2.048742659053695e-17,3.184211e-07,2.069627423922463e-17,3.184211e-07,2.111541220846173e-17,3.184211e-07,2.13255878344192e-17,3.184211e-07,2.153616187935522e-17,3.184211e-07,2.195857393487437e-17,3.184211e-07,2.301502381822541e-17,3.184211e-07,2.280688484011206e-17,3.184211e-07,2.238216898842378e-17,3.184211e-07,2.217021402538357e-17,3.184211e-07,2.259440221217937e-17
3.236842e-07,1.904873901619436e-17,3.236842e-07,2.17549280183825e-17,3.236842e-07,2.091326252606111e-17,3.236842e-07,1.925378174028667e-17,3.236842e-07,1.945937515626697e-17,3.236842e-07,1.966525318223366e-17,3.236842e-07,1.987190276840632e-17,3.236842e-07,2.00791176707965e-17,3.236842e-07,2.028655521318708e-17,3.236842e-07,2.049541446609815e-17,3.236842e-07,2.070439485694623e-17,3.236842e-07,2.112310955357138e-17,3.236842e-07,2.13333196388279e-17,3.236842e-07,2.154393433599845e-17,3.236842e-07,2.196627339803201e-17,3.236842e-07,2.302336806719726e-17,3.236842e-07,2.281483810521978e-17,3.236842e-07,2.23900757602785e-17,3.236842e-07,2.217810390778145e-17,3.236842e-07,2.260232500118123e-17
3.289474e-07,1.905603137433559e-17,3.289474e-07,2.176269698812621e-17,3.289474e-07,2.092086685647737e-17,3.289474e-07,1.926157158242037e-17,3.289474e-07,1.946661554056675e-17,3.289474e-07,1.967257904430806e-17,3.289474e-07,1.987878316026648e-17,3.289474e-07,2.008661120886046e-17,3.289474e-07,2.029374144571301e-17,3.289474e-07,2.050298564287065e-17,3.289474e-07,2.071144641348032e-17,3.289474e-07,2.11307332293554e-17,3.289474e-07,2.13410052718521e-17,3.289474e-07,2.155165172392751e-17,3.289474e-07,2.197406316438298e-17,3.289474e-07,2.303149910485106e-17,3.289474e-07,2.282295445441324e-17,3.289474e-07,2.239793328087141e-17,3.289474e-07,2.218593501025365e-17,3.289474e-07,2.261020309927342e-17
3.342105e-07,1.906500974911797e-17,3.342105e-07,2.177051325793307e-17,3.342105e-07,2.092696611866756e-17,3.342105e-07,1.926839908015771e-17,3.342105e-07,1.947276140515319e-17,3.342105e-07,1.967991984108927e-17,3.342105e-07,1.98861613325328e-17,3.342105e-07,2.009404332455286e-17,3.342105e-07,2.030142132131555e-17,3.342105e-07,2.050974645140491e-17,3.342105e-07,2.071803357900903e-17,3.342105e-07,2.113829059984066e-17,3.342105e-07,2.134858520544582e-17,3.342105e-07,2.1559426897502e-17,3.342105e-07,2.198195182238512e-17,3.342105e-07,2.303941671889248e-17,3.342105e-07,2.283060520155686e-17,3.342105e-07,2.240573539017149e-17,3.342105e-07,2.219369434870712e-17,3.342105e-07,2.261805328291203e-17
3.394737e-07,1.907176661442899e-17,3.394737e-07,2.177678672763791e-17,3.394737e-07,2.093521150295292e-17,3.394737e-07,1.927568586708203e-17,3.394737e-07,1.948127983359131e-17,3.394737e-07,1.968680910614868e-17,3.394737e-07,1.989338893734074e-17,3.394737e-07,2.010073632786178e-17,3.394737e-07,2.030945055392819e-17,3.394737e-07,2.051743486399075e-17,3.394737e-07,2.072622907735242e-17,3.394737e-07,2.114524647594171e-17,3.394737e-07,2.135540194101702e-17,3.394737e-07,2.156620016796193e-17,3.394737e-07,2.198829235637951e-17,3.394737e-07,2.30469226099876e-17,3.394737e-07,2.283848850293653e-17,3.394737e-07,2.241329542071387e-17,3.394737e-07,2.220016935903576e-17,3.394737e-07,2.262584907914206e-17
3.447368e-07,1.907927913173027e-17,3.447368e-07,2.17852678124459e-17,3.447368e-07,2.094321756017327e-17,3.447368e-07,1.928186790410724e-17,3.447368e-07,1.948798712722041e-17,3.447368e-07,1.96940882978167e-17,3.447368e-07,1.990033222983504e-17,3.447368e-07,2.010818430065842e-17,3.447368e-07,2.031588618978849e-17,3.447368e-07,2.052539497512783e-17,3.447368e-07,2.073381484559784e-17,3.447368e-07,2.11530438469768e-17,3.447368e-07,2.136332219706979e-17,3.447368e-07,2.15741104538729e-17,3.447368e-07,2.19968153849648e-17,3.447368e-07,2.305451707834408e-17,3.447368e-07,2.284604606938801e-17,3.447368e-07,2.242083138556137e-17,3.447368e-07,2.220865713178824e-17,3.447368e-07,2.263329327795749e-17
3.5e-07,1.908556731087065e-17,3.5e-07,2.17929919886778e-17,3.5e-07,2.095094595394999e-17,3.5e-07,1.928898485672272e-17,3.5e-07,1.949498621681974e-17,3.5e-07,1.970124104440261e-17,3.5e-07,1.990802200313407e-17,3.5e-07,2.011458826001784e-17,3.5e-07,2.032404977226639e-17,3.5e-07,2.05328212041854e-17,3.5e-07,2.07415133030609e-17,3.5e-07,2.116096894230385e-17,3.5e-07,2.137140488848445e-17,3.5e-07,2.158224495881959e-17,3.5e-07,2.200456495748419e-17,3.5e-07,2.306166860544662e-17,3.5e-07,2.285384435487533e-17,3.5e-07,2.242793439286423e-17,3.5e-07,2.221646674769073e-17,3.5e-07,2.26411496181235e-17
