load_cap(fF)  clk_delay_val(ps)  o_fall(ns) load_cap(fF)  clk_delay_val(ps)  o_fall(ns) load_cap(fF)  clk_delay_val(ps)  o_fall(ns) load_cap(fF)  clk_delay_val(ps)  o_fall(ns) load_cap(fF)  clk_delay_val(ps)  o_fall(ns) load_cap(fF)  clk_delay_val(ps)  o_fall(ns) load_cap(fF)  clk_delay_val(ps)  o_fall(ns) 
00000.0200 00083.3333 000.089526 
00000.0200 00069.4444 000.088356 
00000.0200 00057.8704 000.087127 
00000.0200 00048.2253 000.086040 
00000.0200 00040.1878 000.084995 
00000.0200 00033.4898 000.084021 
00000.0200 00027.9082 000.083947 
00000.0200 00023.2568 000.089014 
00000.0200 00019.3807 000.104300 
00000.0200 00016.1506 000.139865 
00000.0200 00013.4588 000.230103 
00000.0200 00011.2157 000.463111 
00000.0200 00009.3464 001.020891 
00000.0200 00007.7887 002.269372 
00000.0200 00006.4905 004.898064 
00000.0200 00005.4088 -45.100854 
00000.0200 00004.5073 -40.366525 
00000.0200 00003.7561 -32.269523 
00000.0200 00003.1301 -82.268897 
00000.0200 00002.6084 -132.268375 
00000.0200 00002.1737 -182.267941 
00001.2500 00083.3333 000.096918 
00001.2500 00069.4444 000.095709 
00001.2500 00057.8704 000.094479 
00001.2500 00048.2253 000.093392 
00001.2500 00040.1878 000.092350 
00001.2500 00033.4898 000.091377 
00001.2500 00027.9082 000.091302 
00001.2500 00023.2568 000.096406 
00001.2500 00019.3807 000.111946 
00001.2500 00016.1506 000.148688 
00001.2500 00013.4588 000.242560 
00001.2500 00011.2157 000.482706 
00001.2500 00009.3464 001.051291 
00001.2500 00007.7887 002.314446 
00001.2500 00006.4905 004.960518 
00001.2500 00005.4088 -45.038400 
00001.2500 00004.5073 -40.285841 
00001.2500 00003.7561 -32.169313 
00001.2500 00003.1301 -82.168687 
00001.2500 00002.6084 -132.168165 
00001.2500 00002.1737 -182.167731 
00002.5000 00083.3333 000.103380 
00002.5000 00069.4444 000.102174 
00002.5000 00057.8704 000.100943 
00002.5000 00048.2253 000.099856 
00002.5000 00040.1878 000.098812 
00002.5000 00033.4898 000.097838 
00002.5000 00027.9082 000.097767 
00002.5000 00023.2568 000.102875 
00002.5000 00019.3807 000.118446 
00002.5000 00016.1506 000.155368 
00002.5000 00013.4588 000.250569 
00002.5000 00011.2157 000.494505 
00002.5000 00009.3464 001.069607 
00002.5000 00007.7887 002.343211 
00002.5000 00006.4905 005.004298 
00002.5000 00005.4088 -44.994620 
00002.5000 00004.5073 -40.224444 
00002.5000 00003.7561 -32.088264 
00002.5000 00003.1301 -82.087638 
00002.5000 00002.6084 -132.087116 
00002.5000 00002.1737 -182.086682 
00005.0000 00083.3333 000.115977 
00005.0000 00069.4444 000.114770 
00005.0000 00057.8704 000.113540 
00005.0000 00048.2253 000.112451 
00005.0000 00040.1878 000.111409 
00005.0000 00033.4898 000.110436 
00005.0000 00027.9082 000.110363 
00005.0000 00023.2568 000.115474 
00005.0000 00019.3807 000.131056 
00005.0000 00016.1506 000.168001 
00005.0000 00013.4588 000.263741 
00005.0000 00011.2157 000.511794 
00005.0000 00009.3464 001.095603 
00005.0000 00007.7887 002.383541 
00005.0000 00006.4905 005.067294 
00005.0000 00005.4088 -44.931624 
00005.0000 00004.5073 -40.132283 
00005.0000 00003.7561 -31.961389 
00005.0000 00003.1301 -81.960763 
00005.0000 00002.6084 -131.960241 
00005.0000 00002.1737 -181.959807 
00011.0000 00083.3333 000.145935 
00011.0000 00069.4444 000.144728 
00011.0000 00057.8704 000.143501 
00011.0000 00048.2253 000.142412 
00011.0000 00040.1878 000.141362 
00011.0000 00033.4898 000.140391 
00011.0000 00027.9082 000.140320 
00011.0000 00023.2568 000.145434 
00011.0000 00019.3807 000.161012 
00011.0000 00016.1506 000.197947 
00011.0000 00013.4588 000.293556 
00011.0000 00011.2157 000.543625 
00011.0000 00009.3464 001.139013 
00011.0000 00007.7887 002.449097 
00011.0000 00006.4905 005.168493 
00011.0000 00005.4088 -44.830425 
00011.0000 00004.5073 -39.981284 
00011.0000 00003.7561 -31.745551 
00011.0000 00003.1301 -81.744925 
00011.0000 00002.6084 -131.744403 
00011.0000 00002.1737 -181.743969 
00021.0000 00083.3333 000.195696 
00021.0000 00069.4444 000.194484 
00021.0000 00057.8704 000.193256 
00021.0000 00048.2253 000.192170 
00021.0000 00040.1878 000.191123 
00021.0000 00033.4898 000.190152 
00021.0000 00027.9082 000.190082 
00021.0000 00023.2568 000.195194 
00021.0000 00019.3807 000.210772 
00021.0000 00016.1506 000.247699 
00021.0000 00013.4588 000.343183 
00021.0000 00011.2157 000.592916 
00021.0000 00009.3464 001.193504 
00021.0000 00007.7887 002.525526 
00021.0000 00006.4905 005.283599 
00021.0000 00005.4088 -44.715319 
00021.0000 00004.5073 -39.810540 
00021.0000 00003.7561 -31.498592 
00021.0000 00003.1301 -81.497966 
00021.0000 00002.6084 -131.497444 
00021.0000 00002.1737 -181.497010 
00042.0000 00083.3333 000.300056 
00042.0000 00069.4444 000.298841 
00042.0000 00057.8704 000.297613 
00042.0000 00048.2253 000.296529 
00042.0000 00040.1878 000.295486 
00042.0000 00033.4898 000.294507 
00042.0000 00027.9082 000.294438 
00042.0000 00023.2568 000.299558 
00042.0000 00019.3807 000.315147 
00042.0000 00016.1506 000.352040 
00042.0000 00013.4588 000.447475 
00042.0000 00011.2157 000.697153 
00042.0000 00009.3464 001.297635 
00042.0000 00007.7887 002.645596 
00042.0000 00006.4905 005.455317 
00042.0000 00005.4088 -44.543601 
00042.0000 00004.5073 -39.561779 
00042.0000 00003.7561 -31.142399 
00042.0000 00003.1301 -81.141773 
00042.0000 00002.6084 -131.141251 
00042.0000 00002.1737 -181.140817 

